,EmailMessageId,EmailConversationId,EmailMessagePermaKey,TenantPermaKey,AuthorPermaKey,UserProfilePermaKey,EmailParticipantsTypeId,TimeSinceLastEmail,IsReply,IsForward,Label
8677,382884622,159775711,36vxZ6bq49nL,4MrlrGLRXmmS,2cSJ4W3cRPY,2Dj83vP3vcrb,2.0,41.0,1,0,4
8678,382884622,159775711,36vxZ6bq49nL,4MrlrGLRXmmS,2cSJ4W3cRPY,2P14w98F8W26,2.0,41.0,1,0,4
8679,382884622,159775711,36vxZ6bq49nL,4MrlrGLRXmmS,2cSJ4W3cRPY,2P14w98F8W26,2.0,41.0,1,0,4
8680,382884622,159775711,36vxZ6bq49nL,4MrlrGLRXmmS,2cSJ4W3cRPY,3khN6fsQ7x7f,2.0,41.0,1,0,4
8681,382884622,159775711,36vxZ6bq49nL,4MrlrGLRXmmS,2cSJ4W3cRPY,3khN6fsQ7x7f,2.0,41.0,1,0,4
8682,382884622,159775711,36vxZ6bq49nL,4MrlrGLRXmmS,2cSJ4W3cRPY,4pWvCfzRkZSl,2.0,41.0,1,0,4
8683,382884622,159775711,36vxZ6bq49nL,4MrlrGLRXmmS,2cSJ4W3cRPY,4pWvCfzRkZSl,2.0,41.0,1,0,4
8684,382884622,159775711,36vxZ6bq49nL,4MrlrGLRXmmS,2cSJ4W3cRPY,2Dj83vP3vcrb,2.0,41.0,1,0,4
8685,382884622,159775711,36vxZ6bq49nL,4MrlrGLRXmmS,2cSJ4W3cRPY,2cSJ4W3cRPY,2.0,41.0,1,0,4
8686,382884622,159775711,36vxZ6bq49nL,4MrlrGLRXmmS,2cSJ4W3cRPY,2cSJ4W3cRPY,2.0,41.0,1,0,4
8687,385469153,138875536,3Qww9P6p9TPm,212jwCWmgtx,41YCgXN4CWHl,41YCgXN4CWHl,2.0,189.0,1,0,4
8688,385469153,138875536,3Qww9P6p9TPm,212jwCWmgtx,41YCgXN4CWHl,WVcDwD6k8Sl,2.0,189.0,1,0,4
8689,382655810,73233914,352zbtw4CMyq,S5f2Qnqqvv,,3qR3nxtrJpPN,3.0,12.0,1,0,4
8690,382655810,73233914,352zbtw4CMyq,S5f2Qnqqvv,,3qR3nxtrJpPN,3.0,12.0,1,0,4
8691,382546989,95953361,3sdfxFL53Trs,2km1X4YtWfxR,,48DYgZSzMZCX,3.0,0.0,1,0,3
8692,382658160,73233914,2V3qcFsgJzCc,S5f2Qnqqvv,3qR3nxtrJpPN,3qR3nxtrJpPN,3.0,0.0,1,0,4
8693,382658160,73233914,2V3qcFsgJzCc,S5f2Qnqqvv,3qR3nxtrJpPN,3qR3nxtrJpPN,3.0,0.0,1,0,4
8694,382659089,73233914,SjjP9r8C88Q,S5f2Qnqqvv,,3qR3nxtrJpPN,3.0,0.0,1,0,4
8695,382659089,73233914,SjjP9r8C88Q,S5f2Qnqqvv,,3qR3nxtrJpPN,3.0,0.0,1,0,4
8696,382884964,159775711,2n2H4mCD7DLs,4MrlrGLRXmmS,3mrRBWpHWv2F,2cSJ4W3cRPY,2.0,0.0,1,0,4
8697,382884964,159775711,2n2H4mCD7DLs,4MrlrGLRXmmS,3mrRBWpHWv2F,2P14w98F8W26,2.0,0.0,1,0,4
8698,382884964,159775711,2n2H4mCD7DLs,4MrlrGLRXmmS,3mrRBWpHWv2F,2P14w98F8W26,2.0,0.0,1,0,4
8699,382884964,159775711,2n2H4mCD7DLs,4MrlrGLRXmmS,3mrRBWpHWv2F,3khN6fsQ7x7f,2.0,0.0,1,0,4
8700,382884964,159775711,2n2H4mCD7DLs,4MrlrGLRXmmS,3mrRBWpHWv2F,3khN6fsQ7x7f,2.0,0.0,1,0,4
8701,382884964,159775711,2n2H4mCD7DLs,4MrlrGLRXmmS,3mrRBWpHWv2F,4pWvCfzRkZSl,2.0,0.0,1,0,4
8702,382884964,159775711,2n2H4mCD7DLs,4MrlrGLRXmmS,3mrRBWpHWv2F,4pWvCfzRkZSl,2.0,0.0,1,0,4
8703,382884964,159775711,2n2H4mCD7DLs,4MrlrGLRXmmS,3mrRBWpHWv2F,2cSJ4W3cRPY,2.0,0.0,1,0,4
8704,382884964,159775711,2n2H4mCD7DLs,4MrlrGLRXmmS,3mrRBWpHWv2F,2Dj83vP3vcrb,2.0,0.0,1,0,4
8705,382884964,159775711,2n2H4mCD7DLs,4MrlrGLRXmmS,3mrRBWpHWv2F,2Dj83vP3vcrb,2.0,0.0,1,0,4
8706,385558609,159775711,qGqsZ3S1FF8,4MrlrGLRXmmS,3mrRBWpHWv2F,2cSJ4W3cRPY,2.0,169.0,1,0,4
8707,385558609,159775711,qGqsZ3S1FF8,4MrlrGLRXmmS,3mrRBWpHWv2F,2P14w98F8W26,2.0,169.0,1,0,4
8708,385558609,159775711,qGqsZ3S1FF8,4MrlrGLRXmmS,3mrRBWpHWv2F,2P14w98F8W26,2.0,169.0,1,0,4
8709,385558609,159775711,qGqsZ3S1FF8,4MrlrGLRXmmS,3mrRBWpHWv2F,3khN6fsQ7x7f,2.0,169.0,1,0,4
8710,385558609,159775711,qGqsZ3S1FF8,4MrlrGLRXmmS,3mrRBWpHWv2F,3khN6fsQ7x7f,2.0,169.0,1,0,4
8711,385558609,159775711,qGqsZ3S1FF8,4MrlrGLRXmmS,3mrRBWpHWv2F,4pWvCfzRkZSl,2.0,169.0,1,0,4
8712,385558609,159775711,qGqsZ3S1FF8,4MrlrGLRXmmS,3mrRBWpHWv2F,4pWvCfzRkZSl,2.0,169.0,1,0,4
8713,385558609,159775711,qGqsZ3S1FF8,4MrlrGLRXmmS,3mrRBWpHWv2F,2cSJ4W3cRPY,2.0,169.0,1,0,4
8714,385558609,159775711,qGqsZ3S1FF8,4MrlrGLRXmmS,3mrRBWpHWv2F,2Dj83vP3vcrb,2.0,169.0,1,0,4
8715,385558609,159775711,qGqsZ3S1FF8,4MrlrGLRXmmS,3mrRBWpHWv2F,2Dj83vP3vcrb,2.0,169.0,1,0,4
8716,383029276,164968650,4CfYhmNw8yXT,dzwJZhSjBPX,2gNTdTq9wZhl,2gNTdTq9wZhl,3.0,6.0,1,0,3
8717,382992204,179103148,36JYvvdRWjR2,36QJLLhlWlGt,,2dzSfgD8qBl7,2.0,2.0,1,0,3
8718,388363091,179103148,45mW5ldddjVT,36QJLLhlWlGt,2dzSfgD8qBl7,2dzSfgD8qBl7,2.0,339.0,1,0,3
